bus,plateNumber,route_id,request_id,user_id,request_created_at,route_departure_name,route_departure_id,route_arrival_name,route_arrival_id,request_accepted_at,request_etd,request_eta,route_atd,route_ata,passengers,request_departure_name,request_departure_id,request_arrival_name,request_arrival_id,status
1,IPT 7084,218,240,86,2024-04-22 08:21:44.673000,Plateia Glyfadas,1,Gymnasio,4,2024-04-22 08:21:46.175121,2024-04-22 08:33:54.000000,2024-04-22 08:54:58.000000,2024-04-22 08:37:51.947987,2024-04-22 08:49:39.327148,1,Plateia Vergoti,2,Plateia Karaiskaki,11,COMPLETED
1,IPT 7084,221,240,86,2024-04-22 08:21:44.673000,Gymnasio,4,Plateia Karaiskaki,11,2024-04-22 08:21:46.175121,2024-04-22 08:33:54.000000,2024-04-22 08:54:58.000000,2024-04-22 08:49:39.534528,2024-04-22 09:00:29.911644,1,Plateia Vergoti,2,Plateia Karaiskaki,11,COMPLETED
1,IPT 7084,217,241,45,2024-04-22 08:25:36.006000,Plateia Vergoti,2,Plateia Glyfadas,1,2024-04-22 08:25:36.450920,2024-04-22 08:33:54.000000,2024-04-22 08:36:36.000000,2024-04-22 08:34:02.602625,2024-04-22 08:37:51.677286,1,Plateia Vergoti,2,Plateia Glyfadas,1,COMPLETED
4,ITN 1930,220,242,23,2024-04-22 08:36:10.869000,Trochaia,9,Plateia Glyfadas,1,2024-04-22 08:36:12.036540,2024-04-22 08:42:10.000000,2024-04-22 08:53:28.000000,2024-04-22 08:44:47.537048,2024-04-22 08:54:40.258882,1,Trochaia,9,Plateia Glyfadas,1,COMPLETED
3,IPT 7081,225,243,24,2024-04-22 08:36:28.718000,Plateia Karaiskaki,11,Agios Tryfon,10,2024-04-22 08:36:29.477565,2024-04-22 08:59:41.000000,2024-04-22 09:04:16.000000,2024-04-22 09:02:08.348086,2024-04-22 09:07:12.893246,1,Plateia Karaiskaki,11,Agios Tryfon,10,COMPLETED
2,IPO 7757,222,245,47,2024-04-22 08:50:35.264000,Gymnasio,4,Plateia Karaiskaki,11,2024-04-22 08:50:35.232001,2024-04-22 08:58:56.000000,2024-04-22 09:09:00.000000,2024-04-22 08:53:26.068702,2024-04-22 09:06:34.915578,1,Gymnasio,4,Plateia Karaiskaki,11,COMPLETED
4,ITN 1930,224,246,30,2024-04-22 08:58:00.989000,Plateia Glyfadas,1,Kyprou,3,2024-04-22 08:58:01.383705,2024-04-22 08:58:00.000000,2024-04-22 09:01:44.000000,2024-04-22 09:01:42.824944,2024-04-22 09:10:00.233286,1,Plateia Glyfadas,1,Kyprou,3,COMPLETED
4,ITN 1930,228,247,27,2024-04-22 09:01:41.610000,Trochaia,9,Kyprou,3,2024-04-22 09:01:41.634135,2024-04-22 09:08:57.000000,2024-04-22 09:20:05.000000,2024-04-22 09:15:32.047074,2024-04-22 09:24:21.064983,1,Trochaia,9,Kyprou,3,COMPLETED
1,IPT 7084,230,248,28,2024-04-22 09:04:05.731000,Plateia Glyfadas,1,Aigaiou,7,2024-04-22 09:04:06.466125,2024-04-22 09:17:38.000000,2024-04-22 09:32:14.000000,2024-04-22 09:22:19.351623,2024-04-22 09:31:02.133498,1,Plateia Glyfadas,1,Aigaiou,7,COMPLETED
2,IPO 7757,227,249,45,2024-04-22 09:10:23.329000,Plateia Karaiskaki,11,Plateia Vergoti,2,2024-04-22 09:10:23.679999,2024-04-22 09:10:23.000000,2024-04-22 09:12:34.000000,2024-04-22 09:12:39.371463,2024-04-22 09:35:10.669852,1,Plateia Karaiskaki,11,Plateia Vergoti,2,COMPLETED
