bus,plateNumber,request_id,user_id,request_created_at,request_cancelled_at,request_etd,request_eta,passengers,request_departure_name,departure_id,request_arrival_name,request_arrival_id,status
1,IPT 7084,327,27,2024-04-24 08:29:33.552000,2024-04-24 08:29:35.560466,2024-04-24 08:32:16.000000,2024-04-24 08:44:40.000000,1,Plateia Glyfadas,1,Plateia Karaiskaki,11,CANCELLED
2,IPO 7757,342,47,2024-04-24 09:17:59.467000,2024-04-24 09:59:29.953672,2024-04-24 09:55:52.000000,2024-04-24 10:09:17.000000,1,Trochaia,9,Kyprou,3,CANCELLED
3,IPT 7081,344,30,2024-04-24 09:23:20.707000,2024-04-24 09:39:52.735115,2024-04-24 09:39:37.000000,2024-04-24 09:47:17.000000,2,Plateia Glyfadas,1,Agia Triada,5,CANCELLED
3,IPT 7081,350,25,2024-04-24 09:57:04.819000,2024-04-24 10:05:35.343264,2024-04-24 10:07:18.000000,2024-04-24 10:22:36.000000,1,Plateia Karaiskaki,11,Plateia Vergoti,2,CANCELLED
NULL,NULL,357,52,2024-04-24 14:11:13.613000,2024-04-24 14:11:14.139262,NULL,NULL,1,Plateia Glyfadas,1,Plateia Karaiskaki,11,CANCELLED
NULL,NULL,358,52,2024-04-24 14:11:19.258000,2024-04-24 14:11:19.797274,NULL,NULL,1,Plateia Glyfadas,1,Plateia Karaiskaki,11,CANCELLED
1,IPT 7084,368,27,2024-04-25 08:25:25.596000,2024-04-25 08:37:21.727347,2024-04-25 08:43:32.000000,2024-04-25 08:48:43.000000,1,Gymnasio,4,Kyprou,3,CANCELLED
4,ITN 1930,369,27,2024-04-25 08:37:33.052000,2024-04-25 08:37:39.020237,2024-04-25 08:46:38.000000,2024-04-25 08:51:49.000000,1,Gymnasio,4,Kyprou,3,CANCELLED
3,IPT 7081,370,27,2024-04-25 08:37:49.372000,2024-04-25 08:38:12.481826,2024-04-25 08:47:39.000000,2024-04-25 08:52:50.000000,1,Gymnasio,4,Kyprou,3,CANCELLED
3,IPT 7081,375,27,2024-04-25 08:55:58.570000,2024-04-25 08:56:00.993072,2024-04-25 08:55:58.000000,2024-04-25 09:00:53.000000,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
4,ITN 1930,376,27,2024-04-25 08:56:44.015000,2024-04-25 08:56:48.803084,2024-04-25 09:06:57.000000,2024-04-25 09:11:51.000000,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
3,IPT 7081,377,27,2024-04-25 08:57:01.098000,2024-04-25 08:57:03.896807,2024-04-25 08:57:22.000000,2024-04-25 09:02:16.000000,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
4,ITN 1930,378,27,2024-04-25 08:57:17.779000,2024-04-25 09:05:00.197673,2024-04-25 09:07:37.000000,2024-04-25 09:12:32.000000,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
3,IPT 7081,384,25,2024-04-25 09:49:25.778000,2024-04-25 11:19:07.977106,2024-04-25 10:18:19.000000,2024-04-25 10:38:51.000000,1,Plateia Vergoti,2,Trochaia,9,CANCELLED
3,IPT 7081,385,44,2024-04-25 10:04:13.636000,2024-04-25 10:05:58.914267,2024-04-25 10:18:19.000000,2024-04-25 10:30:53.000000,1,Plateia Vergoti,2,Plateia Karaiskaki,11,CANCELLED
3,IPT 7081,386,47,2024-04-25 10:29:43.104000,2024-04-25 10:30:44.539399,2024-04-25 10:41:52.000000,2024-04-25 10:49:24.000000,1,DEI,8,Plateia Glyfadas,1,CANCELLED
2,IPO 7757,388,52,2024-04-26 07:13:26.192000,2024-04-26 07:13:30.354371,2024-04-26 07:13:26.000000,2024-04-26 07:25:55.000000,1,Plateia Vergoti,2,Plateia Karaiskaki,11,CANCELLED
2,IPO 7757,391,47,2024-04-26 07:20:02.856000,2024-04-26 07:24:50.830904,2024-04-26 07:20:02.000000,2024-04-26 07:34:42.000000,1,Plateia Vergoti,2,Aigaiou,7,CANCELLED
2,IPO 7757,392,24,2024-04-26 07:23:55.325000,2024-04-26 07:24:50.952376,2024-04-26 07:46:38.000000,2024-04-26 07:52:19.000000,1,Plateia Vergoti,2,Trochaia,9,CANCELLED
2,IPO 7757,403,24,2024-04-26 08:32:42.878000,2024-04-26 08:44:16.649685,2024-04-26 08:43:26.000000,2024-04-26 08:54:20.000000,1,Agios Tryfon,10,Plateia Glyfadas,1,CANCELLED
3,IPT 7081,411,27,2024-04-26 09:29:01.158000,2024-04-26 09:31:20.773781,2024-04-26 09:57:41.000000,2024-04-26 10:06:48.000000,1,Plateia Vergoti,2,Gymnasio,4,CANCELLED
2,IPO 7757,416,27,2024-04-26 09:42:40.728000,2024-04-26 09:49:03.171726,2024-04-26 09:53:24.000000,2024-04-26 09:58:22.000000,4,Kyprou,3,Plateia Vergoti,2,CANCELLED
3,IPT 7081,419,25,2024-04-26 09:59:13.490000,2024-04-26 22:00:00.934292,2024-04-26 09:59:13.000000,2024-04-26 10:14:31.000000,1,Plateia Karaiskaki,11,Plateia Vergoti,2,CANCELLED
2,IPO 7757,421,27,2024-04-26 10:04:43.316000,2024-04-26 22:00:01.455453,2024-04-26 10:27:36.000000,2024-04-26 10:34:38.000000,2,Agia Triada,5,Agios Tryfon,10,CANCELLED
2,IPO 7757,422,30,2024-04-26 10:21:45.338000,2024-04-26 22:00:01.454789,2024-04-26 10:40:59.000000,2024-04-26 10:46:05.000000,3,Gymnasio,4,Kyprou,3,CANCELLED
2,IPO 7757,423,24,2024-04-26 10:26:02.323000,2024-04-26 22:00:01.454991,2024-04-26 10:40:59.000000,2024-04-26 10:59:35.000000,1,Gymnasio,4,Plateia Karaiskaki,11,CANCELLED
2,IPO 7757,426,57,2024-04-29 07:12:44.067000,2024-04-29 07:14:27.815677,2024-04-29 07:12:44.000000,2024-04-29 07:21:50.000000,1,Plateia Vergoti,2,Gymnasio,4,CANCELLED
2,IPO 7757,433,86,2024-04-29 07:38:06.564000,2024-06-10 10:23:44.167389,2024-04-29 07:56:04.000000,2024-04-29 07:58:54.000000,1,Plateia Vergoti,2,Plateia Glyfadas,1,CANCELLED
2,IPO 7757,442,23,2024-04-29 08:20:33.210000,2024-04-29 08:34:08.285503,2024-04-29 08:50:37.000000,2024-04-29 08:55:32.000000,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
1,IPT 7084,465,57,2024-04-30 08:02:36.411000,2024-04-30 08:02:55.737718,2024-04-30 08:06:41.000000,2024-04-30 08:09:49.000000,1,Agios Tryfon,10,DEI,8,CANCELLED
1,IPT 7084,480,31,2024-04-30 09:51:14.983000,2024-04-30 09:51:27.130621,2024-04-30 10:05:21.000000,2024-04-30 10:17:37.000000,2,Plateia Glyfadas,1,Plateia Karaiskaki,11,CANCELLED
3,IPT 7081,487,27,2024-04-30 10:36:22.128000,2024-04-30 10:41:17.268443,2024-04-30 10:45:34.000000,2024-04-30 10:53:12.000000,2,Agia Triada,5,Plateia Glyfadas,1,CANCELLED
3,IPT 7081,491,27,2024-05-01 07:52:13.291000,2024-05-01 07:53:34.133655,2024-05-01 07:52:13.000000,2024-05-01 08:01:20.000000,1,Plateia Vergoti,2,Gymnasio,4,CANCELLED
3,IPT 7081,493,27,2024-05-01 07:53:49.959000,2024-05-01 07:54:14.421841,2024-05-01 07:53:49.000000,2024-05-01 08:02:56.000000,1,Plateia Vergoti,2,Gymnasio,4,CANCELLED
3,IPT 7081,499,47,2024-05-01 08:14:33.253000,2024-05-01 08:17:26.191547,2024-05-01 08:19:15.000000,2024-05-01 08:23:18.000000,1,Antheon,6,DEI,8,CANCELLED
1,IPT 7084,501,47,2024-05-01 08:21:58.122000,2024-05-01 08:28:53.539039,2024-05-01 08:29:09.000000,2024-05-01 08:33:12.000000,1,Antheon,6,DEI,8,CANCELLED
2,IPO 7757,504,57,2024-05-01 08:31:38.907000,2024-05-01 08:47:00.739667,2024-05-01 08:42:54.000000,2024-05-01 08:45:37.000000,1,Plateia Vergoti,2,Plateia Glyfadas,1,CANCELLED
4,ITN 1930,509,58,2024-05-01 09:07:39.865000,2024-05-01 09:08:04.800935,2024-05-01 09:07:39.000000,2024-05-01 09:16:52.000000,2,Plateia Vergoti,2,Agia Triada,5,CANCELLED
3,IPT 7081,515,47,2024-05-01 09:30:28.514000,2024-05-01 09:30:47.564310,2024-05-01 09:35:08.000000,2024-05-01 09:39:14.000000,1,Antheon,6,DEI,8,CANCELLED
4,ITN 1930,519,58,2024-05-01 09:33:03.265000,2024-05-01 09:33:05.930969,2024-05-01 09:43:13.000000,2024-05-01 09:58:31.000000,1,Plateia Karaiskaki,11,Plateia Vergoti,2,CANCELLED
1,IPT 7084,520,58,2024-05-01 09:33:36.130000,2024-05-01 09:33:50.619139,2024-05-01 09:44:09.000000,2024-05-01 09:56:25.000000,1,Plateia Glyfadas,1,Plateia Karaiskaki,11,CANCELLED
2,IPO 7757,526,47,2024-05-01 09:47:14.720000,2024-05-01 10:43:44.251065,2024-05-01 10:16:25.000000,2024-05-01 10:40:24.000000,1,DEI,8,Plateia Vergoti,2,CANCELLED
2,IPO 7757,529,57,2024-05-01 10:07:42.978000,2024-05-01 10:43:44.251085,2024-05-01 10:26:42.000000,2024-05-01 10:40:24.000000,1,Gymnasio,4,Plateia Glyfadas,1,CANCELLED
2,IPO 7757,530,27,2024-05-01 10:20:20.562000,2024-05-01 10:43:44.251101,2024-05-01 10:33:31.000000,2024-05-01 10:40:24.000000,4,Antheon,6,Plateia Vergoti,2,CANCELLED
2,IPO 7757,532,86,2024-05-02 07:13:06.354000,2024-06-10 10:23:44.167750,2024-05-02 07:16:31.000000,2024-05-02 07:28:24.000000,1,Plateia Vergoti,2,Aigaiou,7,CANCELLED
2,IPO 7757,533,47,2024-05-02 07:13:12.152000,2024-05-02 07:13:44.826255,2024-05-02 07:16:31.000000,2024-05-02 07:22:34.000000,1,Plateia Vergoti,2,Antheon,6,CANCELLED
NULL,NULL,534,59,2024-05-02 07:14:04.362000,2024-05-02 07:14:03.532191,NULL,NULL,1,Plateia Vergoti,2,Agia Triada,5,CANCELLED
NULL,NULL,535,86,2024-05-02 07:14:13.853000,2024-06-10 10:23:44.167763,NULL,NULL,1,Plateia Vergoti,2,Aigaiou,7,CANCELLED
NULL,NULL,536,59,2024-05-02 07:14:22.050000,2024-05-02 07:14:21.203786,NULL,NULL,1,Plateia Vergoti,2,Agia Triada,5,CANCELLED
3,IPT 7081,546,27,2024-05-02 07:44:22.738000,2024-05-02 07:44:24.625039,2024-05-02 07:57:47.000000,2024-05-02 08:02:45.000000,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
3,IPT 7081,547,27,2024-05-02 07:45:52.705000,2024-05-02 07:45:54.538555,2024-05-02 07:59:18.000000,2024-05-02 08:04:16.000000,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
3,IPT 7081,548,27,2024-05-02 07:46:44.207000,2024-05-02 07:49:00.082956,2024-05-02 07:59:20.000000,2024-05-02 08:01:52.000000,1,Plateia Glyfadas,1,Plateia Vergoti,2,CANCELLED
3,IPT 7081,550,27,2024-05-02 07:49:07.729000,2024-05-02 07:49:09.506894,2024-05-02 07:56:49.000000,2024-05-02 08:01:47.000000,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
3,IPT 7081,553,27,2024-05-02 07:51:54.538000,2024-05-02 07:51:56.273899,2024-05-02 07:59:36.000000,2024-05-02 08:04:34.000000,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
2,IPO 7757,558,48,2024-05-02 08:16:54.647000,2024-05-02 08:24:09.719699,2024-05-02 08:34:28.000000,2024-05-02 08:39:22.000000,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
1,IPT 7084,563,47,2024-05-02 08:30:26.538000,2024-05-02 09:04:14.159954,2024-05-02 09:00:43.000000,2024-05-02 09:18:01.000000,1,DEI,8,Plateia Vergoti,2,CANCELLED
1,IPT 7084,564,59,2024-05-02 08:53:14.816000,2024-05-02 09:04:14.159973,2024-05-02 09:06:21.000000,2024-05-02 09:13:07.000000,1,Agia Triada,5,Kyprou,3,CANCELLED
NULL,NULL,572,57,2024-05-08 07:53:52.005000,2024-05-08 07:53:52.963899,NULL,NULL,1,Plateia Glyfadas,1,Plateia Vergoti,2,CANCELLED
NULL,NULL,573,57,2024-05-08 07:55:25.151000,2024-05-08 07:55:26.027466,NULL,NULL,1,Kyprou,3,Trochaia,9,CANCELLED
NULL,NULL,575,86,2024-05-08 07:58:44.018000,2024-06-10 10:23:44.167846,NULL,NULL,1,Trochaia,9,Kyprou,3,CANCELLED
NULL,NULL,578,58,2024-05-08 08:05:11.180000,2024-05-08 08:05:11.718022,NULL,NULL,1,Plateia Glyfadas,1,Plateia Karaiskaki,11,CANCELLED
NULL,NULL,580,59,2024-05-08 08:05:44.410000,2024-05-08 08:05:44.566363,NULL,NULL,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
NULL,NULL,581,59,2024-05-08 08:05:51.293000,2024-05-08 08:05:51.373552,NULL,NULL,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
NULL,NULL,582,59,2024-05-08 08:06:09.599000,2024-05-08 08:06:09.759579,NULL,NULL,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
NULL,NULL,583,59,2024-05-08 08:06:45.347000,2024-05-08 08:06:45.478931,NULL,NULL,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
NULL,NULL,584,59,2024-05-08 08:07:01.348000,2024-05-08 08:07:01.458033,NULL,NULL,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
NULL,NULL,585,25,2024-05-08 08:07:40.862000,2024-05-08 08:07:41.212785,NULL,NULL,1,Agia Triada,5,Plateia Glyfadas,1,CANCELLED
NULL,NULL,586,59,2024-05-08 08:07:48.602000,2024-05-08 08:07:48.717547,NULL,NULL,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
NULL,NULL,587,25,2024-05-08 08:07:57.832000,2024-05-08 08:07:58.212593,NULL,NULL,1,Agia Triada,5,Plateia Glyfadas,1,CANCELLED
NULL,NULL,588,25,2024-05-08 08:08:04.056000,2024-05-08 08:08:04.404728,NULL,NULL,1,Agia Triada,5,Plateia Glyfadas,1,CANCELLED
NULL,NULL,589,59,2024-05-08 08:08:07.471000,2024-05-08 08:08:07.506324,NULL,NULL,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
NULL,NULL,590,59,2024-05-08 08:08:08.869000,2024-05-08 08:08:08.917332,NULL,NULL,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
NULL,NULL,591,59,2024-05-08 08:08:36.151000,2024-05-08 08:08:36.200207,NULL,NULL,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
NULL,NULL,592,57,2024-05-08 08:09:47.315000,2024-05-08 08:09:48.179939,NULL,NULL,1,Plateia Karaiskaki,11,Kyprou,3,CANCELLED
NULL,NULL,593,57,2024-05-08 08:09:51.574000,2024-05-08 08:09:52.419669,NULL,NULL,1,Plateia Karaiskaki,11,DEI,8,CANCELLED
NULL,NULL,594,57,2024-05-08 08:09:56.435000,2024-05-08 08:09:57.277710,NULL,NULL,1,Plateia Karaiskaki,11,Agia Triada,5,CANCELLED
NULL,NULL,595,57,2024-05-08 08:10:00.429000,2024-05-08 08:10:01.288231,NULL,NULL,1,Plateia Karaiskaki,11,Antheon,6,CANCELLED
NULL,NULL,596,57,2024-05-08 08:10:04.202000,2024-05-08 08:10:05.056662,NULL,NULL,1,Plateia Karaiskaki,11,Antheon,6,CANCELLED
NULL,NULL,597,59,2024-05-08 08:10:11.978000,2024-05-08 08:10:12.579613,NULL,NULL,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
NULL,NULL,598,25,2024-05-08 08:11:53.002000,2024-05-08 08:11:53.378725,NULL,NULL,1,Agia Triada,5,Plateia Glyfadas,1,CANCELLED
NULL,NULL,599,59,2024-05-08 08:12:32.115000,2024-05-08 08:12:32.229223,NULL,NULL,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
NULL,NULL,600,59,2024-05-08 08:12:43.748000,2024-05-08 08:12:43.820775,NULL,NULL,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
NULL,NULL,601,59,2024-05-08 08:13:14.897000,2024-05-08 08:13:14.899241,NULL,NULL,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
